Experiment Name,Plot ID,Plot Name,Field_Name,Source Stock,Row,Range,Plot,Block,Rep,Kernel Num,Planting Date,Harvest Date,Comments,trait,value,timestamp,person,location,number
16GB,16GB2161,IBMRI MO281,CFAR 600,SPM 08:82422,6,14,IBMRI MO281,31,2,20,5/20/2016,,Goss' wilt,Notes,segregating  ,7/12/2016 13:44,Tjamann ,40.1028 ; -88.2241,1
16GB,16GB2191,IBMRI MO264,CFAR 600,SPM 08:80717,29,13,IBMRI MO264,33,2,20,5/20/2016,,Goss' wilt,Notes,segregating  ,7/12/2016 13:50,Tjamann ,40.1028 ; -88.2241,1
16GB,16GB3098,IBMRI MO007,CFAR 600,SPM 08:83574-selfX,57,10,IBMRI MO007,47,3,20,5/20/2016,,Goss' wilt,Notes,segregating  ,7/12/2016 14:36,Tjamann ,40.1028 ; -88.2241,1
16GB,16GB3292,IBMRI MO013,CFAR 600,SPM 08:82294,7,8,IBMRI MO013,60,3,20,5/20/2016,,Goss' wilt,Notes,segregating  ,7/12/2016 15:05,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0001,W401,CFAR 600,Ames 27194 ,3,35,W401,1,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:43,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0044,W182B,CFAR 600,Ames 19330 ,46,35,W182B,3,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:44,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0066,W117HT,CFAR 600,Ames 8399 ,68,35,W117HT,4,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:45,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0079,A554,CFAR 600,PI 587138 ,68,34,A554,5,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:46,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0119,P39 Goodman-Buckler,CFAR 600,Ames 28186 ,28,34,P39 Goodman-Buckler,7,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:49,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0137,EP1,CFAR 600,Ames 27111 ,10,34,EP1,8,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:51,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0141,A661,CFAR 600,PI 607521 ,6,34,A661,8,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:51,Tjamann ,40.1028 ; -88.2241,1
16GD,16GD0329,A654,CFAR 600,PI 587141 ,43,31,A654,19,1,20,5/20/2016,,Goss wilt,Days2Anthesis,2016.7.13,7/13/2016 15:53,Tjamann ,40.1028 ; -88.2241,1
wowwowwow